Age,BMI,Pregnancy Age,Family History,Radiation Exposure,Birth Control,Menstrual Cycle Age,Last Menstrual Cycle Age,Hormone Therapy,Alcohol Consumption,Inherited Gene,Previous History,Hormonal,Dense Breast Tissue,Risk,Consequent,agg,pregage,lm,mc,bi
47.32174617,25.71831143,26.55544554,Present,Low,Low,12.18918092,48.92921692,High,None,Present,Present,Imbalanced,Absent,High,0.415443369,Older,Young,Older,Young,Low
47.38332433,25.70971317,26.52693069,Present,High,Moderate,12.18826883,48.93933393,None,High,Absent,None,Balanced,Present,Low,0.414985738,Middle-aged,Young,Older,Young,Low
47.44490249,25.70111491,26.49841584,Present,Moderate,High,12.18735674,48.94945095,None,Moderate,Absent,Present,Balanced,Present,Low,0.414528108,Young,Young,Older,Young,High
47.50648065,25.69251665,26.46990099,Present,High,None,12.18644464,48.95956796,None,None,Present,Present,Balanced,Absent,Moderate,0.414070478,Older,Young,Middle-aged,Young,High
47.56805881,25.68391839,26.44138614,Present,High,None,12.18553255,48.96968497,None,None,Absent,Present,Balanced,Present,Low,0.413612848,Young,Young,Older,Young,Low
47.62963696,25.67532013,26.41287129,Present,Low,Moderate,12.18462046,48.97980198,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.413155218,Middle-aged,Young,Middle-aged,Young,High
47.69121512,25.66672187,26.38435644,Present,High,High,12.18370837,48.98991899,Low,None,Absent,Present,Balanced,Absent,Low,0.412697588,Older,Middle-aged,Middle-aged,Young,Low
47.75279328,25.65812361,26.35584158,Present,Moderate,High,12.18279628,49.000036,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.412239958,Middle-aged,Young,Older,Young,High
47.81437144,25.64952535,26.32732673,Absent,High,High,12.18188419,49.01015302,Low,Low,Absent,None,Imbalanced,Absent,High,0.411782328,Older,Young,Older,Young,Moderate
47.87594959,25.64092709,26.29881188,Absent,Low,Low,12.1809721,49.02027003,Low,Moderate,Present,Present,Balanced,Absent,High,0.411324697,Young,Young,Middle-aged,Young,Moderate
47.93752775,25.63232883,26.27029703,Absent,Moderate,None,12.18006001,49.03038704,Low,High,Absent,Present,Balanced,Present,Moderate,0.410867067,Middle-aged,Middle-aged,Middle-aged,Young,Low
47.99910591,25.62373057,26.24178218,Absent,Low,Low,12.17914791,49.04050405,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.410409437,Middle-aged,Young,Middle-aged,Young,Low
48.06068407,25.61513231,26.21326733,Absent,Low,Low,12.17823582,49.05062106,None,None,Absent,Present,Balanced,Absent,High,0.409951807,Older,Young,Middle-aged,Young,Low
48.12226223,25.60653405,26.18475248,Absent,Moderate,Low,12.17732373,49.06073807,High,Low,Present,None,Imbalanced,Present,Moderate,0.409494177,Young,Young,Older,Young,Moderate
48.18384038,25.59793579,26.15623762,Present,Moderate,Low,12.17641164,49.07085509,High,None,Absent,Present,Imbalanced,Present,Moderate,0.409036547,Young,Young,Middle-aged,Young,Moderate
48.24541854,25.58933753,26.12772277,Present,Moderate,High,12.17549955,49.0809721,None,None,Present,None,Balanced,Absent,Low,0.408578917,Older,Middle-aged,Middle-aged,Young,Moderate
48.3069967,25.58073927,26.09920792,Present,Low,Moderate,12.17458746,49.09108911,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.408121286,Middle-aged,Young,Middle-aged,Young,Low
48.36857486,25.57214101,26.07069307,Absent,Low,High,12.17367537,49.10120612,None,High,Absent,None,Balanced,Absent,Moderate,0.407663656,Young,Young,Middle-aged,Young,Low
48.43015302,25.56354275,26.04217822,Present,Moderate,High,12.17276328,49.11132313,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.407206026,Middle-aged,Young,Middle-aged,Young,Moderate
48.49173117,25.55494449,26.01366337,Present,Low,Moderate,12.17185119,49.12144014,None,Moderate,Absent,None,Balanced,Present,Moderate,0.406748396,Middle-aged,Young,Middle-aged,Young,Moderate
48.55330933,25.54634623,25.98514851,Present,High,High,12.17093909,49.13155716,High,Low,Present,None,Balanced,Absent,Low,0.406290766,Middle-aged,Young,Middle-aged,Young,Low
48.61488749,25.53774797,25.95663366,Absent,Moderate,High,12.170027,49.14167417,Low,High,Present,Present,Balanced,Absent,Moderate,0.405833136,Middle-aged,Young,Older,Young,High
48.67646565,25.52914971,25.92811881,Present,High,Moderate,12.16911491,49.15179118,None,None,Absent,Present,Balanced,Absent,Low,0.405375506,Young,Young,Middle-aged,Young,Low
48.7380438,25.52055146,25.89960396,Absent,Moderate,Low,12.16820282,49.16190819,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.404917875,Young,Young,Middle-aged,Young,High
48.79962196,25.5119532,25.87108911,Present,High,High,12.16729073,49.1720252,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.404460245,Middle-aged,Young,Older,Young,Low
48.86120012,25.50335494,25.84257426,Absent,Moderate,Moderate,12.16637864,49.18214221,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.404002615,Middle-aged,Middle-aged,Middle-aged,Young,Low
48.92277828,25.49475668,25.81405941,Present,Moderate,Low,12.16546655,49.19225923,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.403544985,Older,Young,Middle-aged,Young,High
48.98435644,25.48615842,25.78554455,Absent,Low,Moderate,12.16455446,49.20237624,Moderate,Low,Absent,None,Imbalanced,Present,High,0.403087355,Middle-aged,Young,Middle-aged,Young,Low
49.04593459,25.47756016,25.7570297,Absent,High,Moderate,12.16364236,49.21249325,Moderate,High,Present,None,Balanced,Absent,Low,0.402629725,Older,Young,Older,Young,Moderate
49.10751275,25.4689619,25.72851485,Absent,High,High,12.16273027,49.22261026,None,High,Present,None,Imbalanced,Absent,Low,0.402172095,Young,Young,Middle-aged,Young,High
49.16909091,25.46036364,25.7,Present,Low,None,12.16181818,49.23272727,None,Moderate,Absent,None,Balanced,Absent,High,0.401714465,Young,Middle-aged,Middle-aged,Young,High
49.23066907,25.45176538,25.67148515,Present,High,None,12.16090609,49.24284428,None,Low,Absent,None,Balanced,Absent,Moderate,0.401256834,Young,Middle-aged,Middle-aged,Young,Low
49.29224722,25.44316712,25.6429703,Present,High,None,12.159994,49.2529613,Low,High,Present,None,Balanced,Present,High,0.400799204,Young,Young,Middle-aged,Young,Low
49.35382538,25.43456886,25.61445545,Absent,High,Moderate,12.15908191,49.26307831,None,Moderate,Present,Present,Balanced,Present,Low,0.400341574,Young,Middle-aged,Older,Young,Low
49.41540354,25.4259706,25.58594059,Absent,Low,None,12.15816982,49.27319532,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.399883944,Middle-aged,Middle-aged,Older,Young,High
49.4769817,25.41737234,25.55742574,Present,Moderate,High,12.15725773,49.28331233,Low,None,Absent,Present,Balanced,Absent,High,0.399426314,Young,Young,Middle-aged,Young,Low
49.53855986,25.40877408,25.52891089,Present,Moderate,Moderate,12.15634563,49.29342934,Moderate,Low,Present,None,Balanced,Absent,High,0.398968684,Older,Young,Middle-aged,Young,Low
49.60013801,25.40017582,25.50039604,Present,Moderate,High,12.15543354,49.30354635,None,High,Absent,None,Balanced,Absent,High,0.398511054,Older,Young,Older,Young,Moderate
49.66171617,25.39157756,25.47188119,Present,High,Low,12.15452145,49.31366337,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.398053423,Young,Young,Middle-aged,Young,Moderate
49.72329433,25.3829793,25.44336634,Present,Moderate,Moderate,12.15360936,49.32378038,Low,Low,Present,None,Imbalanced,Absent,Low,0.397595793,Middle-aged,Middle-aged,Middle-aged,Young,Low
49.78487249,25.37438104,25.41485149,Present,Moderate,None,12.15269727,49.33389739,Moderate,Low,Present,None,Imbalanced,Present,Low,0.397138163,Young,Middle-aged,Middle-aged,Young,Moderate
49.84645065,25.36578278,25.38633663,Absent,High,Moderate,12.15178518,49.3440144,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.396680533,Young,Young,Middle-aged,Young,Moderate
49.9080288,25.35718452,25.35782178,Present,Low,Moderate,12.15087309,49.35413141,Low,High,Absent,Present,Imbalanced,Present,High,0.396222903,Young,Young,Older,Young,Moderate
49.96960696,25.34858626,25.32930693,Absent,High,Low,12.149961,49.36424842,High,Moderate,Absent,None,Imbalanced,Present,High,0.395765273,Young,Middle-aged,Middle-aged,Young,Low
50.03118512,25.339988,25.30079208,Present,Moderate,Low,12.1490489,49.37436544,None,None,Absent,None,Balanced,Present,Moderate,0.395307643,Older,Young,Older,Young,Low
50.09276328,25.33138974,25.27227723,Present,Low,Low,12.14813681,49.38448245,Low,None,Present,Present,Imbalanced,Present,Low,0.394850012,Older,Young,Middle-aged,Young,High
50.15434143,25.32279148,25.24376238,Present,Moderate,None,12.14722472,49.39459946,Low,Low,Present,Present,Balanced,Absent,High,0.394392382,Middle-aged,Middle-aged,Middle-aged,Young,High
50.21591959,25.31419322,25.21524752,Absent,High,High,12.14631263,49.40471647,High,Low,Present,Present,Balanced,Present,Moderate,0.393934752,Young,Young,Middle-aged,Young,High
50.27749775,25.30559496,25.18673267,Absent,High,Moderate,12.14540054,49.41483348,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.393477122,Middle-aged,Middle-aged,Older,Young,Moderate
50.33907591,25.2969967,25.15821782,Absent,Low,None,12.14448845,49.4249505,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.393019492,Middle-aged,Young,Middle-aged,Young,Low
50.40065407,25.28839844,25.12970297,Absent,Moderate,Low,12.14357636,49.43506751,Low,High,Absent,Present,Balanced,Absent,Low,0.392561862,Young,Young,Middle-aged,Young,Moderate
50.46223222,25.27980018,25.10118812,Present,Moderate,High,12.14266427,49.44518452,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.392104232,Young,Young,Older,Young,High
50.52381038,25.27120192,25.07267327,Absent,Moderate,High,12.14175218,49.45530153,None,None,Absent,None,Imbalanced,Absent,Moderate,0.391646602,Young,Young,Older,Young,Low
50.58538854,25.26260366,25.04415842,Present,High,Moderate,12.14084008,49.46541854,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.391188971,Older,Middle-aged,Middle-aged,Young,Moderate
50.6469667,25.2540054,25.01564356,Present,Moderate,Moderate,12.13992799,49.47553555,High,Low,Absent,Present,Imbalanced,Absent,Low,0.390731341,Older,Young,Older,Young,High
50.70854485,25.24540714,24.98712871,Present,High,High,12.1390159,49.48565257,Moderate,None,Absent,None,Balanced,Present,High,0.390273711,Middle-aged,Young,Older,Young,Moderate
50.77012301,25.23680888,24.95861386,Present,Moderate,High,12.13810381,49.49576958,Low,High,Present,Present,Balanced,Present,Moderate,0.389816081,Older,Middle-aged,Older,Young,High
50.83170117,25.22821062,24.93009901,Absent,Low,None,12.13719172,49.50588659,Moderate,High,Absent,Present,Balanced,Present,Low,0.389358451,Older,Young,Older,Young,Low
50.89327933,25.21961236,24.90158416,Present,Moderate,Low,12.13627963,49.5160036,None,None,Present,Present,Balanced,Present,Moderate,0.388900821,Older,Young,Older,Young,Low
50.95485749,25.2110141,24.87306931,Absent,Moderate,Moderate,12.13536754,49.52612061,None,None,Present,Present,Imbalanced,Present,Moderate,0.388443191,Middle-aged,Middle-aged,Middle-aged,Young,High
51.01643564,25.20241584,24.84455446,Present,High,Low,12.13445545,49.53623762,None,High,Absent,Present,Balanced,Absent,High,0.38798556,Young,Young,Older,Young,Low
51.0780138,25.19381758,24.8160396,Present,High,High,12.13354335,49.54635464,Low,Low,Absent,Present,Imbalanced,Present,Low,0.38752793,Middle-aged,Young,Middle-aged,Young,Low
51.13959196,25.18521932,24.78752475,Present,Moderate,None,12.13263126,49.55647165,None,None,Absent,None,Imbalanced,Present,Moderate,0.3870703,Young,Middle-aged,Middle-aged,Young,High
51.20117012,25.17662106,24.7590099,Absent,High,Moderate,12.13171917,49.56658866,Low,None,Present,Present,Balanced,Absent,Moderate,0.38661267,Young,Young,Older,Young,Moderate
51.26274827,25.1680228,24.73049505,Present,Moderate,Low,12.13080708,49.57670567,None,None,Present,None,Imbalanced,Present,Low,0.38615504,Middle-aged,Young,Middle-aged,Young,High
51.32432643,25.15942454,24.7019802,Absent,Low,None,12.12989499,49.58682268,None,Low,Present,Present,Balanced,Present,Low,0.38569741,Middle-aged,Young,Middle-aged,Young,Low
51.38590459,25.15082628,24.67346535,Present,High,None,12.1289829,49.59693969,None,High,Absent,Present,Balanced,Absent,Low,0.38523978,Middle-aged,Young,Middle-aged,Young,High
51.44748275,25.14222802,24.6449505,Present,High,Low,12.12807081,49.60705671,Moderate,Moderate,Present,None,Balanced,Present,Low,0.384782149,Young,Young,Older,Young,Low
51.50906091,25.13362976,24.61643564,Present,High,None,12.12715872,49.61717372,High,None,Present,Present,Imbalanced,Absent,High,0.384324519,Young,Young,Older,Young,Low
51.57063906,25.1250315,24.58792079,Absent,Moderate,None,12.12624662,49.62729073,None,Low,Absent,None,Balanced,Absent,Moderate,0.383866889,Older,Middle-aged,Middle-aged,Young,High
51.63221722,25.11643324,24.55940594,Absent,High,High,12.12533453,49.63740774,None,None,Absent,None,Balanced,Absent,Low,0.383409259,Middle-aged,Young,Middle-aged,Young,High
51.69379538,25.10783498,24.53089109,Absent,Low,High,12.12442244,49.64752475,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.382951629,Older,Young,Middle-aged,Young,Low
51.75537354,25.09923672,24.50237624,Absent,Moderate,Moderate,12.12351035,49.65764176,Low,None,Present,None,Imbalanced,Absent,High,0.382493999,Young,Young,Older,Young,Low
51.8169517,25.09063846,24.47386139,Present,Low,Moderate,12.12259826,49.66775878,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.382036369,Older,Young,Middle-aged,Young,Moderate
51.87852985,25.0820402,24.44534653,Present,Low,High,12.12168617,49.67787579,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.381578739,Young,Young,Middle-aged,Young,Low
51.94010801,25.07344194,24.41683168,Absent,High,Low,12.12077408,49.6879928,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.381121108,Older,Young,Middle-aged,Young,High
52.00168617,25.06484368,24.38831683,Present,High,Low,12.11986199,49.69810981,High,None,Absent,Present,Balanced,Absent,Low,0.380663478,Middle-aged,Young,Middle-aged,Young,High
52.06326433,25.05624542,24.35980198,Present,Low,High,12.11894989,49.70822682,None,High,Absent,None,Imbalanced,Present,Low,0.380205848,Young,Middle-aged,Older,Young,Low
52.12484248,25.04764716,24.33128713,Present,Low,None,12.1180378,49.71834383,None,Low,Present,Present,Imbalanced,Absent,Low,0.379748218,Middle-aged,Young,Older,Young,Moderate
52.18642064,25.0390489,24.30277228,Absent,Moderate,Moderate,12.11712571,49.72846085,None,None,Absent,None,Imbalanced,Absent,High,0.379290588,Older,Young,Middle-aged,Young,Moderate
52.2479988,25.03045065,24.27425743,Present,Moderate,Moderate,12.11621362,49.73857786,Low,Low,Absent,Present,Balanced,Present,Low,0.378832958,Older,Young,Middle-aged,Young,Moderate
52.30957696,25.02185239,24.24574257,Absent,Moderate,Low,12.11530153,49.74869487,Low,High,Present,Present,Imbalanced,Present,High,0.378375328,Middle-aged,Middle-aged,Older,Young,Low
52.37115512,25.01325413,24.21722772,Absent,Low,Moderate,12.11438944,49.75881188,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.377917697,Young,Middle-aged,Older,Young,Low
52.43273327,25.00465587,24.18871287,Absent,Moderate,None,12.11347735,49.76892889,None,Low,Absent,None,Balanced,Present,Low,0.377460067,Middle-aged,Young,Older,Young,High
52.49431143,24.99605761,24.16019802,Present,Low,Low,12.11256526,49.7790459,Low,None,Absent,None,Balanced,Present,Low,0.377002437,Middle-aged,Young,Middle-aged,Young,Low
52.55588959,24.98745935,24.13168317,Present,Low,Low,12.11165317,49.78916292,Low,High,Absent,None,Imbalanced,Present,Low,0.376544807,Young,Young,Middle-aged,Young,Low
52.61746775,24.97886109,24.10316832,Absent,High,Low,12.11074107,49.79927993,High,High,Absent,None,Imbalanced,Present,High,0.376087177,Middle-aged,Young,Middle-aged,Young,High
52.6790459,24.97026283,24.07465347,Absent,Low,None,12.10982898,49.80939694,Low,Moderate,Absent,None,Balanced,Absent,Low,0.375629547,Older,Young,Older,Young,High
52.74062406,24.96166457,24.04613861,Present,High,Moderate,12.10891689,49.81951395,Low,None,Present,None,Balanced,Present,Low,0.375171917,Young,Middle-aged,Middle-aged,Young,Low
52.80220222,24.95306631,24.01762376,Present,High,None,12.1080048,49.82963096,High,Moderate,Present,None,Imbalanced,Present,High,0.374714287,Middle-aged,Young,Middle-aged,Young,High
52.86378038,24.94446805,23.98910891,Absent,High,Low,12.10709271,49.83974797,High,High,Present,Present,Imbalanced,Present,Low,0.374256656,Middle-aged,Young,Older,Young,Low
52.92535854,24.93586979,23.96059406,Absent,Low,Low,12.10618062,49.84986499,High,Low,Absent,Present,Imbalanced,Present,High,0.373799026,Older,Middle-aged,Older,Young,High
52.98693669,24.92727153,23.93207921,Absent,Moderate,None,12.10526853,49.859982,Moderate,High,Absent,None,Balanced,Present,High,0.373341396,Young,Middle-aged,Middle-aged,Young,Moderate
53.04851485,24.91867327,23.90356436,Present,High,None,12.10435644,49.87009901,None,High,Present,Present,Imbalanced,Present,Low,0.372883766,Older,Young,Older,Young,Low
53.11009301,24.91007501,23.8750495,Present,Moderate,Low,12.10344434,49.88021602,High,Low,Present,Present,Balanced,Absent,High,0.372426136,Young,Young,Middle-aged,Young,Moderate
53.17167117,24.90147675,23.84653465,Absent,Moderate,Moderate,12.10253225,49.89033303,High,High,Present,Present,Imbalanced,Absent,Moderate,0.371968506,Older,Middle-aged,Middle-aged,Young,Low
53.23324932,24.89287849,23.8180198,Absent,High,Moderate,12.10162016,49.90045005,Low,High,Absent,None,Imbalanced,Present,Low,0.371510876,Older,Young,Older,Young,Low
53.29482748,24.88428023,23.78950495,Present,Low,Moderate,12.10070807,49.91056706,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.371053245,Young,Young,Older,Young,High
53.35640564,24.87568197,23.7609901,Absent,High,Low,12.09979598,49.92068407,None,Moderate,Absent,None,Balanced,Present,Moderate,0.370595615,Middle-aged,Young,Middle-aged,Young,High
53.4179838,24.86708371,23.73247525,Absent,Moderate,None,12.09888389,49.93080108,Moderate,High,Absent,Present,Imbalanced,Present,High,0.370137985,Young,Young,Middle-aged,Young,High
53.47956196,24.85848545,23.7039604,Present,Low,Low,12.0979718,49.94091809,High,None,Present,Present,Imbalanced,Absent,High,0.369680355,Older,Young,Older,Young,Low
53.54114011,24.84988719,23.67544554,Present,High,Moderate,12.09705971,49.9510351,None,High,Absent,None,Balanced,Present,Low,0.369222725,Middle-aged,Young,Older,Young,Low
53.60271827,24.84128893,23.64693069,Present,Moderate,High,12.09614761,49.96115212,None,Moderate,Absent,Present,Balanced,Present,Low,0.368765095,Young,Young,Older,Young,High
53.66429643,24.83269067,23.61841584,Present,High,None,12.09523552,49.97126913,None,None,Present,Present,Balanced,Absent,Moderate,0.368307465,Older,Young,Middle-aged,Young,High
53.72587459,24.82409241,23.58990099,Present,High,None,12.09432343,49.98138614,None,None,Absent,Present,Balanced,Present,Low,0.367849834,Young,Young,Older,Young,Low
53.78745275,24.81549415,23.56138614,Present,Low,Moderate,12.09341134,49.99150315,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.367392204,Middle-aged,Young,Middle-aged,Young,High
53.8490309,24.80689589,23.53287129,Present,High,High,12.09249925,50.00162016,Low,None,Absent,Present,Balanced,Absent,Low,0.366934574,Older,Middle-aged,Middle-aged,Young,Low
53.91060906,24.79829763,23.50435644,Present,Moderate,High,12.09158716,50.01173717,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.366476944,Middle-aged,Young,Older,Young,High
53.97218722,24.78969937,23.47584158,Absent,High,High,12.09067507,50.02185419,Low,Low,Absent,None,Imbalanced,Absent,High,0.366019314,Older,Young,Older,Young,Moderate
54.03376538,24.78110111,23.44732673,Absent,Low,Low,12.08976298,50.0319712,Low,Moderate,Present,Present,Balanced,Absent,High,0.365561684,Young,Young,Middle-aged,Young,Moderate
54.09534353,24.77250285,23.41881188,Absent,Moderate,None,12.08885089,50.04208821,Low,High,Absent,Present,Balanced,Present,Moderate,0.365104054,Middle-aged,Middle-aged,Middle-aged,Young,Low
54.15692169,24.76390459,23.39029703,Absent,Low,Low,12.08793879,50.05220522,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.364646424,Middle-aged,Young,Middle-aged,Young,Low
54.21849985,24.75530633,23.36178218,Absent,Low,Low,12.0870267,50.06232223,None,None,Absent,Present,Balanced,Absent,High,0.364188793,Older,Young,Middle-aged,Young,Low
54.28007801,24.74670807,23.33326733,Absent,Moderate,Low,12.08611461,50.07243924,High,Low,Present,None,Imbalanced,Present,Moderate,0.363731163,Young,Young,Older,Young,Moderate
54.34165617,24.73810981,23.30475248,Present,Moderate,Low,12.08520252,50.08255626,High,None,Absent,Present,Imbalanced,Present,Moderate,0.363273533,Young,Young,Middle-aged,Young,Moderate
54.40323432,24.72951155,23.27623762,Present,Moderate,High,12.08429043,50.09267327,None,None,Present,None,Balanced,Absent,Low,0.362815903,Older,Middle-aged,Middle-aged,Young,Moderate
54.46481248,24.72091329,23.24772277,Present,Low,Moderate,12.08337834,50.10279028,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.362358273,Middle-aged,Young,Middle-aged,Young,Low
54.52639064,24.71231503,23.21920792,Absent,Low,High,12.08246625,50.11290729,None,High,Absent,None,Balanced,Absent,Moderate,0.361900643,Young,Young,Middle-aged,Young,Low
54.5879688,24.70371677,23.19069307,Present,Moderate,High,12.08155416,50.1230243,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.361443013,Middle-aged,Young,Middle-aged,Young,Moderate
54.64954695,24.69511851,23.16217822,Present,Low,Moderate,12.08064206,50.13314131,None,Moderate,Absent,None,Balanced,Present,Moderate,0.360985382,Middle-aged,Young,Middle-aged,Young,Moderate
54.71112511,24.68652025,23.13366337,Present,High,High,12.07972997,50.14325833,High,Low,Present,None,Balanced,Absent,Low,0.360527752,Middle-aged,Young,Middle-aged,Young,Low
54.77270327,24.67792199,23.10514851,Absent,Moderate,High,12.07881788,50.15337534,Low,High,Present,Present,Balanced,Absent,Moderate,0.360070122,Middle-aged,Young,Older,Young,High
54.83428143,24.66932373,23.07663366,Present,High,Moderate,12.07790579,50.16349235,None,None,Absent,Present,Balanced,Absent,Low,0.359612492,Young,Young,Middle-aged,Young,Low
54.89585959,24.66072547,23.04811881,Absent,Moderate,Low,12.0769937,50.17360936,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.359154862,Young,Young,Middle-aged,Young,High
54.95743774,24.65212721,23.01960396,Present,High,High,12.07608161,50.18372637,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.358697232,Middle-aged,Young,Older,Young,Low
55.0190159,24.64352895,22.99108911,Absent,Moderate,Moderate,12.07516952,50.19384338,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.358239602,Middle-aged,Middle-aged,Middle-aged,Young,Low
55.08059406,24.63493069,22.96257426,Present,Moderate,Low,12.07425743,50.2039604,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.357781971,Older,Young,Middle-aged,Young,High
55.14217222,24.62633243,22.93405941,Absent,Low,Moderate,12.07334533,50.21407741,Moderate,Low,Absent,None,Imbalanced,Present,High,0.357324341,Middle-aged,Young,Middle-aged,Young,Low
55.20375038,24.61773417,22.90554455,Absent,High,Moderate,12.07243324,50.22419442,Moderate,High,Present,None,Balanced,Absent,Low,0.356866711,Older,Young,Older,Young,Moderate
55.26532853,24.60913591,22.8770297,Absent,High,High,12.07152115,50.23431143,None,High,Present,None,Imbalanced,Absent,Low,0.356409081,Young,Young,Middle-aged,Young,High
55.32690669,24.60053765,22.84851485,Present,Low,None,12.07060906,50.24442844,None,Moderate,Absent,None,Balanced,Absent,High,0.355951451,Young,Middle-aged,Middle-aged,Young,High
55.38848485,24.59193939,22.82,Present,High,None,12.06969697,50.25454545,None,Low,Absent,None,Balanced,Absent,Moderate,0.355493821,Young,Middle-aged,Middle-aged,Young,Low
55.45006301,24.58334113,22.79148515,Present,High,None,12.06878488,50.26466247,Low,High,Present,None,Balanced,Present,High,0.355036191,Young,Young,Middle-aged,Young,Low
55.51164116,24.57474287,22.7629703,Absent,High,Moderate,12.06787279,50.27477948,None,Moderate,Present,Present,Balanced,Present,Low,0.354578561,Young,Middle-aged,Older,Young,Low
55.57321932,24.56614461,22.73445545,Absent,Low,None,12.0669607,50.28489649,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.35412093,Middle-aged,Middle-aged,Older,Young,High
55.63479748,24.55754635,22.70594059,Present,Moderate,High,12.0660486,50.2950135,Low,None,Absent,Present,Balanced,Absent,High,0.3536633,Young,Young,Middle-aged,Young,Low
55.69637564,24.54894809,22.67742574,Present,Moderate,Moderate,12.06513651,50.30513051,Moderate,Low,Present,None,Balanced,Absent,High,0.35320567,Older,Young,Middle-aged,Young,Low
55.7579538,24.54034983,22.64891089,Present,Moderate,High,12.06422442,50.31524752,None,High,Absent,None,Balanced,Absent,High,0.35274804,Older,Young,Older,Young,Moderate
55.81953195,24.53175158,22.62039604,Present,High,Low,12.06331233,50.32536454,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.35229041,Young,Young,Middle-aged,Young,Moderate
55.88111011,24.52315332,22.59188119,Present,Moderate,Moderate,12.06240024,50.33548155,Low,Low,Present,None,Imbalanced,Absent,Low,0.35183278,Middle-aged,Middle-aged,Middle-aged,Young,Low
55.94268827,24.51455506,22.56336634,Present,Moderate,None,12.06148815,50.34559856,Moderate,Low,Present,None,Imbalanced,Present,Low,0.35137515,Young,Middle-aged,Middle-aged,Young,Moderate
56.00426643,24.5059568,22.53485149,Absent,High,Moderate,12.06057606,50.35571557,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.350917519,Young,Young,Middle-aged,Young,Moderate
56.06584458,24.49735854,22.50633663,Present,Low,Moderate,12.05966397,50.36583258,Low,High,Absent,Present,Imbalanced,Present,High,0.350459889,Young,Young,Older,Young,Moderate
56.12742274,24.48876028,22.47782178,Absent,High,Low,12.05875188,50.37594959,High,Moderate,Absent,None,Imbalanced,Present,High,0.350002259,Young,Middle-aged,Middle-aged,Young,Low
56.1890009,24.48016202,22.44930693,Present,Moderate,Low,12.05783978,50.38606661,None,None,Absent,None,Balanced,Present,Moderate,0.349544629,Older,Young,Older,Young,Low
56.25057906,24.47156376,22.42079208,Present,Low,Low,12.05692769,50.39618362,Low,None,Present,Present,Imbalanced,Present,Low,0.349086999,Older,Young,Middle-aged,Young,High
56.31215722,24.4629655,22.39227723,Present,Moderate,None,12.0560156,50.40630063,Low,Low,Present,Present,Balanced,Absent,High,0.348629369,Middle-aged,Middle-aged,Middle-aged,Young,High
56.37373537,24.45436724,22.36376238,Absent,High,High,12.05510351,50.41641764,High,Low,Present,Present,Balanced,Present,Moderate,0.348171739,Young,Young,Middle-aged,Young,High
56.43531353,24.44576898,22.33524752,Absent,High,Moderate,12.05419142,50.42653465,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.347714108,Middle-aged,Middle-aged,Older,Young,Moderate
56.49689169,24.43717072,22.30673267,Absent,Low,None,12.05327933,50.43665167,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.347256478,Middle-aged,Young,Middle-aged,Young,Low
56.55846985,24.42857246,22.27821782,Absent,Moderate,Low,12.05236724,50.44676868,Low,High,Absent,Present,Balanced,Absent,Low,0.346798848,Young,Young,Middle-aged,Young,Moderate
56.620048,24.4199742,22.24970297,Present,Moderate,High,12.05145515,50.45688569,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.346341218,Young,Young,Older,Young,High
